English Terms,Spanish Terms,Dictionaries Used,Synonyms Used,Failed Words
"computer, program","[chile, programar","Github, Github",,
"finite, element, model, contribution","limitado, elemento, modelo, contribución ","Github, Github, Github, Github",,
contribution,contribución ,Github,,
"implantation, choose, fiber, diameter","implantación , elegir, fibra, diámetro ","Github, Github, Github, Github",,
"islet, density","islote , concentración","Github, Github",density->concentration,
"fiber, inside, O, axial, flux","fibra, dentro de, O, fundente","Github, Github, None, Github",,O
flux,fundente,Github,,
length,largo ,Github,,
"anth, ab1620, peptide, 440, mm","anth, ab1620, péptido, 440, mm","None, None, Github, None, None",,"anth, ab1620, 440, mm"
presence,presencia ,Github,,
"3.7, formaldehyde, solution","3.7, formaldehido, solución ","None, Github, Github",,3.7
COS,COS,None,,COS
peptide,péptido,Github,,
"an60ti, rotor","an60ti, rotor ","None, Github",,an60ti
an60ti,an60ti,None,,an60ti
centerpiece,,,,
"channel, centerpiece",canalizar,Github,,
"analytical, cell","analytical, célula","None, Github",,analytical
equilibrium,equilibrio,Github,,
channel,canalizar,Github,,
"ab1620, m","ab1620, m","None, None",,"ab1620, m"
ab1620,ab1620,None,,ab1620
"equilibrium, experiment","equilibrio, experimentar","Github, Github",,
"phosphate, buffer","fosfato , tampón","Github, Mexican Laws",,
"molecular, biology, biochemistry, field","molecular, biología , bioquimica, campo ","Github, Github, Github, Github",,
biochemistry,bioquimica,Github,,
reader,lector ,Github,,
"molecular, biology, biochemistry","molecular, biología , bioquimica","Github, Github, Github",,
contributor,,,,
subscriber,lector ,Github,subscriber->reader,
individual,individuo,Github,,
publication,publicación ,Github,,
"pharmaceutical, medi, business, day","medi, asunto , día","None, Github, Github",,medi
website,solar ,Github,website->site,
day,día,Github,,
business,asunto ,Github,,
"governmental, agency","gubernamental, oficina ","Github, Github",,
"ASBMB, website","ASBMB, solar ","None, Github",website->site,ASBMB
ASBMB,ASBMB,None,,ASBMB
fee,honorario ,Github,,
"educational, institution","educativo , institución ","Github, Github",,
job,trabajar,Github,,
protein,proteína,Github,,
"cl, ion","cl, ion","Chemical Element, Github",,
"small, cl, ion","esmaltín, cl, ion","Github, Chemical Element, Github",,
"heavy, halide, ion","pesado, haluro , ion","Github, Github, Github",,
"halide, soak, method","haluro , saturar, method","Github, Github, Github",,
"alternative, way","alternativa , camino ","Github, Github",,
"protein, surfac","proteína, surfac","Github, None",,surfac
diffraction,difracción ,Github,,
ion,ion,Github,,
"PRON-, br, heavy, halide, ion","PRON-, br, pesado, haluro , ion","None, Chemical Element, Github, Github, Github",,PRON-
pneumoniae,pneumoniae,None,,pneumoniae
synthase,synthase,None,,synthase
"klebsiella, pneumoniae",pneumoniae,None,,pneumoniae
"acetolactate, synthase","acetolactate, synthase","None, None",,"acetolactate, synthase"
crystallization,cristalización,Github,,
"FAD, independent, acetolactate, synthase","FAD, independiente, acetolactate, synthase","None, Github, None, None",,"FAD, acetolactate, synthase"
centre,concentrarse en,Github,centre->center,
"e, mail","e, enviar por correo","None, Github",,e
implantation,implantación ,Github,,
density,concentración,Github,density->concentration,
islet,islote ,Github,,
"fiber, diameter","fibra, diámetro ","Github, Github",,
fiber,fibra,Github,,
"axial, flux",fundente,Github,,
"O, supply","O, proveer","None, Github",,O
study,estudiar,Github,,
diameter,diámetro ,Github,,
"O, axial, flux","O, fundente","None, Github",,O
conclusion,conclusión ,Github,,
"characteristic, length","característica , largo ","Github, Github",,
"O, supply, characteristic, length","O, proveer, característica , largo ","None, Github, Github, Github",,O
supply,proveer,Github,,
pancrea,pancrea,None,,pancrea
"first, model","primero , modelo","Github, Github",,
insulin,insulina,Github,,
"insulin, glucose, diffusive, transport","insulina, glucosa, transportar","Github, Github, Github",,
"VASCULAR, DEVICE","VASCULAR, DEVICE","None, None",,"VASCULAR, DEVICE"
MODEL,MODEL,None,,MODEL
transport,transportar,Github,,
"beckman, optima, XLA, ultracentrifuge","beckman, XLA, ultracentrifuga","None, None, Mexican Laws",,"beckman, XLA"
ultracentrifuge,ultracentrifuga,Mexican Laws,,
cell,célula,Github,,
"sedimentation, equilibrium, experiment","sedimentación, equilibrio, experimentar","Mexican Laws, Github, Github",,
"100, mm, phosphate, buffer","100, mm, fosfato , tampón","None, None, Github, Mexican Laws",,"100, mm"
phosphate,fosfato ,Github,,
experiment,experimentar,Github,,
"100, mm","100, mm","None, None",,"100, mm"
sedimentation,sedimentación,Mexican Laws,,
rotor,rotor ,Github,,
"analytical, cell, an60ti, rotor","analytical, célula, an60ti, rotor ","None, Github, None, Github",,"analytical, an60ti"
"150, mm","150, mm","None, None",,"150, mm"
buffer,tampón,Mexican Laws,,
spectra,espectro,Github,spectra->spectrum,
"DNA, sequence, information","DNA, secuencia , información ","None, Github, Github",,DNA
DNA,DNA,None,,DNA
information,información ,Github,,
"genetic, code","genético, programar","Github, Github",,
sequence,secuencia ,Github,,
discovery,descubrimiento ,Github,,
"technological, advance","tecnológico , adelanto ","Github, Github",,
session,sesión ,Github,,
stage,montar,Github,,
"technological, advance, gene, discovery","tecnológico , adelanto , gen, descubrimiento ","Github, Github, Github, Github",,
advance,adelanto ,Github,,
domain,esfera ,Github,,
exercise,ejercer,Github,,
"PDZ, domain","PDZ, esfera ","None, Github",,PDZ
"specificity, similar, affinity","especificidad , similar, afinidad","Github, Github, Github",,
design,diseñar,Github,,
"design, exercise","diseñar, ejercer","Github, Github",,
specificity,especificidad ,Github,,
"similar, affinity","similar, afinidad","Github, Github",,
"favorable, sequence","favorable , secuencia ","Github, Github",,
target,blanco ,Github,,
"carry, design, exercise","llevar, diseñar, ejercer","Github, Github, Github",,
rehydration,rehidratación,Mexican Laws,,
"calcein, release","calcein, lanzar","None, Github",,calcein
"vesicle, content, leakage","vesícula , contentar, escaparse","Github, Github, Github",leakage->escape,
compound,complejo ,Github,,
buffer,tampón,Mexican Laws,,
antibody,anticuerpo,Github,,
domain,esfera ,Github,,
tool,herramienta ,Github,,
"PDZ, domain","PDZ, esfera ","None, Github",,PDZ
blo,blo,None,,blo
amyloid,amiloideo,Github,,
"tert, butoxycarbonyl","tert, butoxycarbonyl","None, None",,"tert, butoxycarbonyl"
9-fluorenylmethyloxycarbonyl,9-fluorenylmethyloxycarbonyl,None,,9-fluorenylmethyloxycarbonyl
"circular, dichroism, CD","circular, dicroísmo , CD","Github, Github, None",,CD
butoxycarbonyl,butoxycarbonyl,None,,butoxycarbonyl
"N-, dicyclohexylcarbodiimide","N-, dicyclohexylcarbodiimide","None, None",,"N-, dicyclohexylcarbodiimide"
hexafluorophosp,hexafluorophosp,None,,hexafluorophosp
"phosphate, buffer","fosfato , tampón","Github, Mexican Laws",,
"N, stream","N, fluir","None, Github",,N
"14C, ab1620, m","14C, ab1620, m","None, None, None",,"14C, ab1620, m"
"amersham, glycine","amersham, glicina","None, Github",,amersham
"0.5, mm","0.5, mm","None, None",,"0.5, mm"
"100, mm, phosphate, buffer","100, mm, fosfato , tampón","None, None, Github, Mexican Laws",,"100, mm"
plant,plantar,Github,,
"growth, material","crecimiento, material","Github, Github",,
laboratory,laboratorio,Github,,
material,material,Github,,
"CS1899, CS22477, RI, line","CS1899, CS22477, RI, línea ","None, None, None, Github",,"CS1899, CS22477, RI"
"country, address, librarian, email, address","campo , dirigir, bibliotecario , email, dirigir","Github, Github, Github, None, Github",,email
address,dirigir,Github,,
position,posición ,Github,,
subscription,,,,
"email, address","email, dirigir","None, Github",,email
"librarian, email, address","bibliotecario , email, dirigir","Github, None, Github",,email
name,nombrar,Github,,
recommendation,recomendación ,Github,,
"librarian, email","bibliotecario , email","Github, None",,email
"follow, subscription",seguir,Github,,
email,email,None,,email
"country, address","campo , dirigir","Github, Github",,
starkeyi,starkeyi,None,,starkeyi
glucose,glucosa,Github,,
type,escribir a máquina,Github,,
semi,semifinal,Github,semi->semifinal,
"three, kind","tres, género ","Github, Github",,
medium,médium,Github,,
"d, 0.1, KH2PO4, 0.5, glucose","d, 0.1, KH2PO4, 0.5, glucosa","None, None, None, None, Github",,"d, 0.1, KH2PO4, 0.5"
yeast,levadura,Github,,
"1807, CBS, starkeyi","1807, CBS, starkeyi","None, None, None",,"1807, CBS, starkeyi"
"cultural, condition","cultural, condición ","Github, Github",,
kind,género ,Github,,
KH2PO4,KH2PO4,None,,KH2PO4
"medium, three, kind","médium, tres, género ","Github, Github, Github",,
"semi, define, medium","semifinal, definir, médium","Github, Github, Github",semi->semifinal,
"0.1, KH2PO4","0.1, KH2PO4","None, None",,"0.1, KH2PO4"
"lipomyces, 1807, CBS, starkeyi","lipomyces, 1807, CBS, starkeyi","None, None, None, None",,"lipomyces, 1807, CBS, starkeyi"
"0.1, KH2PO4, 0.5, glucose","0.1, KH2PO4, 0.5, glucosa","None, None, None, Github",,"0.1, KH2PO4, 0.5"
"seed, culture","Semilla, cultura ","Github, Github",,
"type, strain","escribir a máquina, deformación bajo carga","Github, Github",,
trna,arnt ,Github,,
domain,esfera ,Github,,
sequence,secuencia ,Github,,
"target, sequence","blanco , secuencia ","Github, Github",,
design,diseñar,Github,,
"new, target, sequence","nuevo, blanco , secuencia ","Github, Github, Github",,
purification,[alloys] fundición ,Github,,
antibody,anticuerpo,Github,,
"protein, identification","proteína, designación ","Github, Github",identification->designation,
"molecular, cell, biology","molecular, célula, biología ","Github, Github, Github",,
use,use,None,,use
identification,designación ,Github,identification->designation,
"lengthy, procedure","prolongado, procedimiento ","Github, Github",lengthy->prolonged,
procedure,procedimiento ,Github,,
alternative,alternativa ,Github,,
"possible, alternative","posible, alternativa ","Github, Github",,
process,proceso,Github,,
"essential, process","esencial, proceso","Github, Github",,
insulin,insulina,Github,,
"O, transport","O, transportar","None, Github",,O
transport,transportar,Github,,
convection,convección,Github,,
vascular,vascular,Github,,
"bioartificial, organ","bioartificial, órgano ","None, Github",,bioartificial
"vascular, bioartificial, organ","vascular, bioartificial, órgano ","Github, None, Github",,bioartificial
"1993, study","1993, estudiar","None, Github",,1993
study,estudiar,Github,,
"insulin, secretion","insulina, secreción ","Github, Github",,
model,modelo,Github,,
"O, role","O, rol ","None, Github",,O
"bioartificial, pancrea","bioartificial, pancrea","None, None",,"bioartificial, pancrea"
"insulin, secretion, O, role","insulina, secreción , O, rol ","Github, Github, None, Github",,O
"O, transport, model","O, transportar, modelo","None, Github, Github",,O
pancrea,pancrea,None,,pancrea
"model, analysis","modelo, análisis ","Github, Github",,
insulin,insulina,Github,,
"datum, collection","dato , colección ","Github, Github",,
"NMR, sample","NMR, samplear","None, Github",,NMR
peptide,péptido,Github,,
"phosphate, buffer","fosfato , tampón","Github, Mexican Laws",,
"ab1620, m, peptide","ab1620, m, péptido","None, None, Github",,"ab1620, m"
"100, mm, phosphate, buffer, solution","100, mm, fosfato , tampón, solución ","None, None, Github, Mexican Laws, Github",,"100, mm"
"ab1620, m","ab1620, m","None, None",,"ab1620, m"
ab1620,ab1620,None,,ab1620
collection,colección ,Github,,
"NMR, datum, collection","NMR, dato , colección ","None, Github, Github",,NMR
solution,solución ,Github,,
"10, D2O","10, D2O","None, None",,"10, D2O"
datum,dato ,Github,,
D2O,D2O,None,,D2O
"100, mm, phosphate, buffer","100, mm, fosfato , tampón","None, None, Github, Mexican Laws",,"100, mm"
sample,samplear,Github,,
"100, mm","100, mm","None, None",,"100, mm"
spectra,espectro,Github,spectra->spectrum,
detail,detalle ,Github,,
"1D, spectra","1D, espectro","None, Github",spectra->spectrum,1D
"v, v","v, v","Chemical Element, Chemical Element",,
buffer,tampón,Mexican Laws,,
tropica,tropica,None,,tropica
"leishmania, mitochondrial, RNA, import, tropica","mitocondrial, RNA, importar, tropica","Github, None, Github, None",,"RNA, tropica"
"multiple, trna, domain","múltiplo , arnt , esfera ","Github, Github, Github",,
"multiple, trna","múltiplo , arnt ","Github, Github",,
trna,arnt ,Github,,
"2002, copyright","2002, derechos de autor ","None, Github",,2002
DOI,DOI,None,,DOI
domain,esfera ,Github,,
tropica,tropica,None,,tropica
"leishmania, mitochondrial, RNA, import, tropica","mitocondrial, RNA, importar, tropica","Github, None, Github, None",,"RNA, tropica"
copyright,derechos de autor ,Github,,
"multiple, trna","múltiplo , arnt ","Github, Github",,
"multiple, trna, domain","múltiplo , arnt , esfera ","Github, Github, Github",,
"0270, DOI","0270, DOI","None, None",,"0270, DOI"
"microbiology, american, society, 2002, copyright","microbiología , inglés americano , sociedad , 2002, derechos de autor ","Github, Github, Github, None, Github",,2002
sucrose,sacarosa,Github,,
guanidinium,guanidinium,None,,guanidinium
"250, mm, sucrose","250, mm, sacarosa","None, None, Github",,"250, mm"
"sucrose, tris, EDTA, buffer","sacarosa, tris, EDTA, tampón","Github, None, None, Mexican Laws",,"tris, EDTA"
cell,célula,Github,,
protein,proteína,Github,,
approach,aproximarse,Github,,
"classical, approach, possible, alternative","clásico, aproximarse, posible, alternativa ","Github, Github, Github, Github",,
research,investigar,Github,,
biology,biología ,Github,,
"modern, molecular, cell, biology, research","moderno , molecular, célula, biología , investigar","Github, Github, Github, Github, Github",,
"cell, biology","célula, biología ","Github, Github",,
"purification, protein, identification","[alloys] fundición , proteína, designación ","Github, Github, Github",identification->designation,
"molecular, cell, biology, research","molecular, célula, biología , investigar","Github, Github, Github, Github",,
"classical, approach","clásico, aproximarse","Github, Github",,
"ligand, peptide","ligando, péptido","Mexican Laws, Github",,
"available, PDZ, structure","disponible, PDZ, estructura ","Github, None, Github",,PDZ
residue,resto ,Github,residue->remainder,
"O, insulin, glucose","O, insulina, glucosa","None, Github, Github",,O
"solute, transfer","soluto, transferir","Github, Github",,
solute,soluto,Github,,
model,modelo,Github,,
"opt, aim, vascular, bioartificial, pancrea","elegir, apuntar, vascular, bioartificial, pancrea","Github, Github, Github, None, None",opt->choose,"bioartificial, pancrea"
glucose,glucosa,Github,,
"vascular, bioartificial, pancrea","vascular, bioartificial, pancrea","Github, None, None",,"bioartificial, pancrea"
analysis,análisis ,Github,,
transfer,transferir,Github,,
"O, insulin","O, insulina","None, Github",,O
"bioartificial, pancrea","bioartificial, pancrea","None, None",,"bioartificial, pancrea"
opt,elegir,Github,opt->choose,
condition,condición ,Github,,
"secretion, insulin, stimulation","secreción , insulina, estimulación ","Github, Github, Github",,
"oxygenation, condition","oxigenación , condición ","Github, Github",,
"secretion, insulin","secreción , insulina","Github, Github",,
"stationary, diffusion","estacionario, difusión","Github, Github",,
"1622, residu, ab, central, region","1622, residu, ab, central, región ","None, None, None, Github, Github",,"1622, residu, ab"
"m, ab1622","m, ab1622","None, None",,"m, ab1622"
"methyl, group",grupo,Github,,
peptide,péptido,Github,,
ab1622,ab1622,None,,ab1622
fibrillogenesis,fibrillogenesis,None,,fibrillogenesis
"ab140, fibrillogenesis, previously, describe, inhibitor","ab140, fibrillogenesis, anteriormente, describir, inhibidor","None, None, Github, Github, Mexican Laws",,"ab140, fibrillogenesis"
ab1620,ab1620,None,,ab1620
group,grupo,Github,,
"ab1620, m","ab1620, m","None, None",,"ab1620, m"
"ab140, fibrillogenesis","ab140, fibrillogenesis","None, None",,"ab140, fibrillogenesis"
"ab1622, m","ab1622, m","None, None",,"ab1622, m"
"fig, 1A, ab1620, m, peptide","higuera , 1A, ab1620, m, péptido","Github, None, None, None, Github",,"1A, ab1620, m"
inhibitor,inhibidor,Mexican Laws,,
"previously, describe, inhibitor","anteriormente, describir, inhibidor","Github, Github, Mexican Laws",,
fig,higuera ,Github,,
"ab1620, m, peptide","ab1620, m, péptido","None, None, Github",,"ab1620, m"
"ab1622, m, ab1620, m","ab1622, m, ab1620, m","None, None, None, None",,"ab1622, m, ab1620, m"
"guanidinium, isothiocyanate",guanidinium,None,,guanidinium
"mm, sucrose","mm, sacarosa","None, Github",,mm
precipitation,precipitación ,Github,,
"ethanol, precipitation, guanidinium, isothiocyanate, extraction","etanol, precipitación , guanidinium, extraction","Github, Github, None, None",,"guanidinium, extraction"
"ethanol, precipitation","etanol, precipitación ","Github, Github",,
"isotonic, sucrose, tris, EDTA, buffer","isotónico, sacarosa, tris, EDTA, tampón","Github, Github, None, None, Mexican Laws",,"tris, EDTA"
isothiocyanate,,,,
ethanol,etanol,Github,,
extraction,extraction,None,,extraction
centrifugation,centrifugación,Mexican Laws,,
mitochondria,mitocondria,Mexican Laws,,
ligand,ligando,Mexican Laws,,
domain,esfera ,Github,,
structure,estructura ,Github,,
homology,,,,
class,clase,Github,,
position,posición ,Github,,
"available, PDZ, structure, superposition","disponible, PDZ, estructura ","Github, None, Github",,PDZ
"PDZ, domain","PDZ, esfera ","None, Github",,PDZ
"structural, homology",estructural,Github,,
superposition,,,,
glucose,glucosa,Github,,
geometry,geometría,Github,,
"peritoneal, cavity, oxygenation, condition","caries , oxigenación , condición ","Github, Github, Github",,
"O, peritoneal, cavity, oxygenation, condition","O, caries , oxigenación , condición ","None, Github, Github, Github",,O
"peritoneal, cavity",caries ,Github,,
secretion,secreción ,Github,,
diffusion,difusión,Github,,
"secretion, insulin, stimulation, glucose","secreción , insulina, estimulación , glucosa","Github, Github, Github, Github",,
"phosphate, buffer","fosfato , tampón","Github, Mexican Laws",,
"0.01, 11, mm","0.01, 11, mm","None, None, None",,"0.01, 11, mm"
listing,hacer una lista,Github,listing->list,
institution,institución ,Github,,
"educational, institution, 400, fee","educativo , institución , 400, honorario ","Github, Github, None, Github",,400
member,miembro ,Github,,
"governmental, agency, company","gubernamental, oficina , empresa ","Github, Github, Github",,
company,empresa ,Github,,
"business, day","asunto , día","Github, Github",,
agency,oficina ,Github,,
"ASBMB, member","ASBMB, miembro ","None, Github",,ASBMB
"400, fee","400, honorario ","None, Github",,400
"online, job, listing","en línea, trabajar, hacer una lista","Github, Github, Github",listing->list,
"job, listing","trabajar, hacer una lista","Github, Github",listing->list,
"cultural, condition, yeast","cultural, condición , levadura","Github, Github, Github",,
condition,condición ,Github,,
strain,deformación bajo carga,Github,,
seed,Semilla,Github,,
work,trabajar,Github,,
"type, strain, work","escribir a máquina, deformación bajo carga, trabajar","Github, Github, Github",,
"australia, correspondence, e, mail","australia , acuerdo , e, enviar por correo","Github, Github, None, Github",correspondence->agreement,e
mail,enviar por correo,Github,,
pneumoniae,pneumoniae,None,,pneumoniae
"ilvk, gene","ilvk, gen","None, Github",,ilvk
expresse,expresse,None,,expresse
"plasmid, ptl8","plásmido , ptl8","Github, None",,ptl8
expression,expresión,Github,,
ptl8,ptl8,None,,ptl8
gene,gen,Github,,
"recombinant, ALS, expresse","ALS, expresse","None, None",,"ALS, expresse"
ALS,ALS,None,,ALS
"peng, et, al, plasmid, ptl8","peng, et, al, plásmido , ptl8","None, None, Chemical Element, Github, None",,"peng, et, ptl8"
"ALS, expresse","ALS, expresse","None, None",,"ALS, expresse"
"K., pneumoniae","K., pneumoniae","None, None",,"K., pneumoniae"
pet.ilvk,pet.ilvk,None,,pet.ilvk
vector,vector,Github,,
computer,[chile,Github,,
domain,esfera ,Github,,
"computer, aid, design","[chile, ayudar, diseñar","Github, Github, Github",,
"PDZ, domain","PDZ, esfera ","None, Github",,PDZ
"PDZ, domain, computer, aid, design","PDZ, esfera , [chile, ayudar, diseñar","None, Github, Github, Github, Github",,PDZ
target,blanco ,Github,,
DEVICE,DEVICE,None,,DEVICE
"diffusive, transport",transportar,Github,,
"vascular, de-, vice","vascular, de-, vicio ","Github, None, Github",,de-
model,modelo,Github,,
"hollow, fib, vascular, de-, vice","depresión , cuento , vascular, de-, vicio ","Github, Github, Github, None, Github",fib->story,de-
"VASCULAR, DEVICE, IN, MODEL","VASCULAR, DEVICE, IN, MODEL","None, None, None, None",,"VASCULAR, DEVICE, IN, MODEL"
glucose,glucosa,Github,,
"insulin, glucose","insulina, glucosa","Github, Github",,
"vascular, bioartificial, pancrea","vascular, bioartificial, pancrea","Github, None, None",,"bioartificial, pancrea"
"bioartificial, pancrea","bioartificial, pancrea","None, None",,"bioartificial, pancrea"
"de-, vice","de-, vicio ","None, Github",,de-
vice,vicio ,Github,,
"hollow, fib","depresión , cuento ","Github, Github",fib->story,
fib,cuento ,Github,fib->story,
organ,órgano ,Github,,
secretion,secreción ,Github,,
pancrea,pancrea,None,,pancrea
role,rol ,Github,,
"convection, O, transport","convección, O, transportar","Github, None, Github",,O
dichroic,dicroico,Github,,
"100, mm, phosphate, buffer","100, mm, fosfato , tampón","None, None, Github, Mexican Laws",,"100, mm"
experiment,experimentar,Github,,
spectropolarimeter,spectropolarimeter,None,,spectropolarimeter
"concentration, dependency, experiment","concentración, dependencia , experimentar","Github, Github, Github",dependency->dependence,
"100, mm","100, mm","None, None",,"100, mm"
"ab1620, m","ab1620, m","None, None",,"ab1620, m"
"0.01, 11, mm, range, concentration","0.01, 11, mm, rango , concentración","None, None, None, Github, Github",,"0.01, 11, mm"
ab1620,ab1620,None,,ab1620
"dependency, experiment","dependencia , experimentar","Github, Github",dependency->dependence,
buffer,tampón,Mexican Laws,,
"circular, dichroic","circular, dicroico","Github, Github",,
dependency,dependencia ,Github,dependency->dependence,
"CD, spectra","CD, espectro","None, Github",spectra->spectrum,CD
"circular, dichroic, CD, spectra","circular, dicroico, CD, espectro","Github, Github, None, Github",spectra->spectrum,CD
concentration,concentración,Github,,
"jasco, P715, spectropolarimeter","jasco, P715, spectropolarimeter","None, None, None",,"jasco, P715, spectropolarimeter"
culture,cultura ,Github,,
bacillus,bacilo,Github,,
protein,proteína,Github,,
development,desarrollo ,Github,,
"ligand, peptide, position","ligando, péptido, posición ","Mexican Laws, Github, Github",,
"good, structural, homology","bien , estructural","Github, Github",,
"PDZ, structure","PDZ, estructura ","None, Github",,PDZ
"thr, ser, class, PRON-, residue","thr, ser, clase, PRON-, resto ","None, None, Github, None, Github",residue->remainder,"thr, ser, PRON-"
peptide,péptido,Github,,
chainside,chainside,None,,chainside
"c, target, protein, terminus","c, blanco , proteína, terminación ","Chemical Element, Github, Github, Github",terminus->termination,
"target, protein","blanco , proteína","Github, Github",,
"47, amino, acid","47, amino , ácido","None, Github, Github",,47
"PDZ, domain","PDZ, esfera ","None, Github",,PDZ
terminus,terminación ,Github,terminus->termination,
model,modelo,Github,,
"cylindrical, model, geometry","cilíndrico, modelo, geometría","Github, Github, Github",,
"dynamical, diffusion","dinámico, difusión","Github, Github",dynamical->dynamic,
"model, geometry","modelo, geometría","Github, Github",,
"PRON-, model","PRON-, modelo","None, Github",,PRON-
pancrea,pancrea,None,,pancrea
diffusion,difusión,Github,,
"fiber, unidirectional, diffusion","fibra, difusión","Github, Github",,
literature,literatura,Github,,
"islet, distribution","islote , distribución ","Github, Github",,
distribution,distribución ,Github,,
"24, fiber","24, fibra","None, Github",,24
fiber,fibra,Github,,
islet,islote ,Github,,
"bioartificial, implantable, pancrea","bioartificial, implantable, pancrea","None, None, None",,"bioartificial, implantable, pancrea"
"implantable, pancrea","implantable, pancrea","None, None",,"implantable, pancrea"
model,modelo,Github,,
"equilibrium, analytical, ultracentrifugation","equilibrio, analytical","Github, None",,analytical
mass,masa,Github,,
"inhibitor, peptide","inhibidor, péptido","Mexican Laws, Github",,
solution,solución ,Github,,
ultracentrifugation,,,,
datum,dato ,Github,,
col,brecha ,Github,col->gap,
"solution, ab1620, m, molecular, mass","solución , ab1620, m, molecular, masa","Github, None, None, Github, Github",,"ab1620, m"
inhibitor,inhibidor,Mexican Laws,,
association,asociación,Github,,
study,estudiar,Github,,
"analytical, ultracentrifugation",analytical,None,,analytical
"self, association, degree","yo , asociación, grado ","Github, Github, Github",,
"fig, equilibrium, analytical, ultracentrifugation","higuera , equilibrio, analytical","Github, Github, None",,analytical
"herbal, medicine, sample","medicamento , samplear","Github, Github",,
"metal, tube, atomizer, use","metal, metro , pulverizador , use","Github, Github, Github, None",,use
"argonhydrogen, atmosphere","argonhydrogen, atmósfera","None, Github",,argonhydrogen
competence,capacidad ,Github,competence->competency,
"2002, lovett, dubnau, clpcmecacomk, interaction","2002, lovett, dubnau, clpcmecacomk, interacción ","None, None, None, None, Github",,"2002, lovett, dubnau, clpcmecacomk"
"bacillus, subtili","bacilo, subtili","Github, None",,subtili
"comk, protein","comk, proteína","None, Github",,comk
"competence, development","capacidad , desarrollo ","Github, Github",competence->competency,
"clpcmecacomk, interaction","clpcmecacomk, interacción ","None, Github",,clpcmecacomk
interaction,interacción ,Github,,
"hahn, et, al, transcription","et, al, transcripción ","None, Chemical Element, Github",,et
transcription,transcripción ,Github,,
clpcmecacomk,clpcmecacomk,None,,clpcmecacomk
comk,comk,None,,comk
regulator,gobernador ,Github,regulator->governor,
"bacillus, subtili, competence, development","bacilo, subtili, capacidad , desarrollo ","Github, None, Github, Github",competence->competency,subtili
stru,stru,None,,stru
"stent, strut, flow, stagnation, pattern","pavonearse, fluir, estancamiento, estructurar","Github, Github, Github, Github",,
"flow, stagnation, pattern","fluir, estancamiento, estructurar","Github, Github, Github",,
"spacing, stent, strut, shape",", pavonearse, forma ","Github, Github, Github",spacing->space,
"stent, strut",pavonearse,Github,,
"Mo, tube, atomizer","Mo, metro , pulverizador ","None, Github, Github",,Mo
benefit,beneficiar,Github,,
atmosphere,atmósfera,Github,,
determination,ahínco ,Github,,
"metal, tube, atomizer","metal, metro , pulverizador ","Github, Github, Github",,
"high, sensitivity, benefit","alto, sensibilidad , beneficiar","Github, Github, Github",,
tube,metro ,Github,,
atomizer,pulverizador ,Github,,
ETAAAS,ETAAAS,None,,ETAAAS
medicine,medicamento ,Github,,
slurry,mezcla,Mexican Laws,,
"feasible, mean","factible, querer decir","Github, Github",,
mean,querer decir,Github,,
sample,samplear,Github,,
"Mn, determination","Mn, ahínco ","None, Github",,Mn
"tube, atomizer","metro , pulverizador ","Github, Github",,
use,use,None,,use
competence,capacidad ,Github,competence->competency,
bacillus,bacilo,Github,,
"bacillus, subtili","bacilo, subtili","Github, None",,subtili
"DNA, uptake, involve, protein","DNA, consumo , envolver, proteína","None, Github, Github, Github",uptake->consumption,DNA
"competence, development","capacidad , desarrollo ","Github, Github",competence->competency,
gene,gen,Github,,
subtili,subtili,None,,subtili
development,desarrollo ,Github,,
comk,comk,None,,comk
uptake,consumo ,Github,uptake->consumption,
"competence, gene","capacidad , gen","Github, Github",competence->competency,
transcription,transcripción ,Github,,
"chain, interaction","cadena, interacción ","Github, Github",,
"pdzligand, recognition","pdzligand, reconocimiento","None, Github",recognition->acknowledgment,pdzligand
specificity,especificidad ,Github,,
"new, class, PRON-, target, peptide","nuevo, clase, PRON-, blanco , péptido","Github, Github, None, Github, Github",,PRON-
end,acabar,Github,,
molec,molec,None,,molec
class,clase,Github,,
"target, sequence","blanco , secuencia ","Github, Github",,
"class, PRON-, target, peptide","clase, PRON-, blanco , péptido","Github, None, Github, Github",,PRON-
"PDZ, wt, specificity","PDZ, wt, especificidad ","None, None, Github",,"PDZ, wt"
case,estudiar el terreno,Github,,
"kinesin, like, molec","kinesin, gustar [with subject and object reversed], molec","None, Github, None",,"kinesin, molec"
kinesin,kinesin,None,,kinesin
"different, design, exercise","diferente, diseñar, ejercer","Github, Github, Github",,
target,blanco ,Github,,
peptide,péptido,Github,,
exercise,ejercer,Github,,
bacteria,bacteria,Github,,
alkaline,alcalino,Github,,
share,compartir,Github,,
company,empresa ,Github,,
"alkaline, bacteria, protease","alcalino, bacteria, proteasa","Github, Github, Github",,
"major, share","mayor de edad , compartir","Github, Github",,
application,solicitud ,Github,,
"enzyme, market","enzima, market","Github, None",,market
suc,suc,None,,suc
world,mundo ,Github,,
protease,proteasa,Github,,
way,camino ,Github,,
"blood, pr, important, role","sangre, pr, importante, rol ","Github, Chemical Element, Github, Github",,
"nutritional, value","alimenticio , valor","Github, Github",,
hydrolysate,,,,
food,alimento,Github,,
"protein, hydrolysate",proteína,Github,,
"food, industry","alimento, industria ","Github, Github",,
"microbial, protease","microbiano, proteasa","Github, Github",,
"screening, method","esconder, method","Github, Github",screening->cover,
